id,Appellation,Type de chèque,Catégorie,Région,Code postal,Province,Ville,Comté,Village,Hameau,Rue,Adresse complète,Voir sur Google Maps
276171,Brasserie de la Gare,conso,Restaurant,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,1082,---,Berchem-Sainte-Agathe - Sint-Agatha-Berchem,Brussel-Hoofdstad - Bruxelles-Capitale,---,---,Chaussée de Gand - Gentsesteenweg,"Brasserie de la Gare, 1430, Chaussée de Gand - Gentsesteenweg, Berchem-Sainte-Agathe - Sint-Agatha-Berchem, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1082, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.8720627,4.2896295)"
276172,R.E.S. Chaumont,conso,Sport,Wallonie,6640,Luxembourg,---,Bastogne,Hompré,Ancien Moulin de Hompré,Hompré,"10A, Hompré, Ancien Moulin de Hompré, Hompré, Vaux-sur-Sûre, Bastogne, Luxembourg, Wallonie, 6640, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=49.9443970,5.6869659)"
276173,Kineo Heusy,conso,Sport,Wallonie,4800,Liège,Verviers,Verviers,---,Cheval blanc,Drève de Maison-Bois,"Kineo Fitness, 6, Drève de Maison-Bois, Cheval blanc, Verviers, Liège, Wallonie, 4800, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.5624313,5.8626070)"
276174,Kineo Nivelles,conso,Sport,Wallonie,1400,Brabant wallon,Nivelles,Nivelles,---,---,Chaussée de Mons,"Motel Nivelles Sud, 22, Chaussée de Mons, Nivelles, Brabant wallon, Wallonie, 1400, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.5885582,4.3072271)"
276175,Kineo Barchon,conso,Sport,Wallonie,4671,Liège,Blegny,Liège,Barchon,Chefneux,Route de Légipont,"12, Route de Légipont, Chefneux, Barchon, Blegny, Liège, Wallonie, 4671, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.6687965,5.6872244)"
276176,Kineo Boncelles,conso,Sport,Wallonie,4100,Liège,Seraing,Liège,Boncelles,---,Rue du Vieux Frêne,"Rue du Vieux Frêne, Boncelles, Seraing, Liège, Wallonie, 4100, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.5678520,5.5656257)"
276177,Kineo Liège,conso,Sport,Wallonie,4020,Liège,Angleur,Liège,---,---,Esplanade de l'Europe,"2, Esplanade de l'Europe, Longdoz, Angleur, Liège, Wallonie, 4020, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.6316910,5.5743561)"
276178,RFC LABUISSIERE,conso,Sport,Wallonie,6567,Hainaut,---,Thuin,Merbes-le-Château,---,Rue de Binche,"Merbes-le-Château Rue des Trieux, Rue de Binche, Merbes-le-Château, Thuin, Hainaut, Wallonie, 6567, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.3335991,4.1750922)"
276179,Touch & Coach,conso,Beauté et bien-être,Wallonie,1390,Brabant wallon,Grez-Doiceau,Nivelles,---,---,Allée du Bois du Bercuit,"Allée du Bois du Bercuit, Grez-Doiceau, Nivelles, Brabant wallon, Wallonie, 1390, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.7390900,4.6853209)"
276180,ad dreams,conso,Restaurant,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,1000,---,Ixelles - Elsene,Brussel-Hoofdstad - Bruxelles-Capitale,---,---,Rue du Bailli - Baljuwstraat,"Roxi, 82, Rue du Bailli - Baljuwstraat, Bruxelles / Brussel, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien","=HYPERLINK(https://maps.google.com/?q=50.8256531,4.3601384)"
