id,latitude,longitude,name,type,categories,distance
276171,50.8720627,4.2896295,Brasserie de la Gare,conso,Restaurant,26.405365114661688
276172,49.9443970,5.6869659,R.E.S. Chaumont,conso,Sport,116.5099947722657
276173,50.5624313,5.8626070,Kineo Heusy,conso,Sport,94.37835025057562
276174,50.5885582,4.3072271,Kineo Nivelles,conso,Sport,20.211068418474454
276175,50.6687965,5.6872244,Kineo Barchon,conso,Sport,80.82339206060993
276176,50.5678520,5.5656257,Kineo Boncelles,conso,Sport,73.65206464152217
276177,50.6316910,5.5743561,Kineo Liège,conso,Sport,73.1909087972571
276178,50.3335991,4.1750922,RFC LABUISSIERE,conso,Sport,47.70633554515318
276179,50.7390900,4.6853209,Touch & Coach,conso,Beauté et bien-être,11.345432236235483
276180,50.8256531,4.3601384,ad dreams,conso,Restaurant,19.265326341308374
276181,50.7538223,3.1867106,Le Vorlat's,conso,Restaurant,95.41856967898757
276182,50.8230705,4.3591094,CHEZWaWa - Chatelain,conso,Restaurant,19.09803249388115
276183,50.8486633,4.3665934,CHEZWaWa - Royal,conso,Restaurant,20.992584334266404
276184,50.8456764,4.3520846,Le Wolf,conso,Culture,21.338937194501217
276185,50.4674034,5.4451222,BOXING CLUB COCKTAIL,conso,Sport,68.68089999617796
276186,50.6522446,5.5408068,Oenoloisir,conso,Culture,70.63417199938762
276187,50.4124756,4.4472127,THEATRE MARIGNAN,conso,Culture,32.05067577312705
276188,50.8032074,4.3390317,Bleus d'Encre,conso,Culture,18.565234235435035
276189,50.8047333,4.3344412,PARASCOLAIRE D'UCCLE,conso,Sport,18.920833659584304
276190,50.7538223,3.1867106,Le Vorlat's,conso,Restaurant,95.41856967898757
276191,50.2139015,4.3567762,BRASSERIE DES LACS DE L'EAU D'HEURE,conso,Brasserie/Taverne,54.98875475654025
276192,50.5669289,5.6138830,RB TILFF,conso,Sport,77.01263523364251
276193,50.8418503,4.3432488,RIVB,conso,Sport,21.40277594212186
276194,50.6634407,5.5241528,Basket Club Alleur,conso,Sport,69.38222209789065
276195,50.7491531,4.3340526,Infraligne Uccle,conso,Sport,15.695000780251627
276196,50.8455887,4.3822703,Martin's Brussels EU,conso,Hotel,20.087272681152413
276197,50.4508286,3.9517188,Martin's Dream,conso,Hotel,49.583939585114365
276198,50.7282066,4.5139203,Martin's Brugge,conso,Hotel,4.13816302887524
276199,51.2074318,3.2255287,Martin's Brugge,conso,Hotel,108.21591712135438
276200,51.2119942,3.2262795,Martin's Relais,conso,Hotel,108.43518614620199
276201,50.8791733,4.6962080,Klooster,conso,Hotel,23.238159315432725
276202,51.0258141,4.4739861,Patershof,conso,Hotel,37.06866791054356
276203,50.7063103,4.2091050,Martin' RED,conso,Hotel,23.322864335967253
276204,50.8419037,5.5199442,Martin's Rentmeesterij,conso,Hotel,70.77940676373973
276205,50.7097092,4.4082804,Martin's Grand Hôtel,conso,Hotel,9.41626052275282
276206,50.6433830,5.5685987,Cinéma Le Sauvenière,conso,Culture,72.66458056311498
276207,50.6411667,5.5703101,Cinéma Churchill,conso,Culture,72.80619082066953
276208,50.6461906,5.6024423,Cinéma Le Parc,conso,Culture,75.01547843733049
276209,50.4667511,4.8637543,Cinéma Le Caméo,conso,Culture,34.118896991645784
276210,50.8334427,4.3670239,Vinomania,conso,Restaurant,19.622430678127966
276211,50.3378639,5.9031429,Restaurant L'Ecurie,conso,Restaurant,104.15845233675354
276212,50.7374191,5.6884766,Visé musique,conso,Musique,80.93912016089472
276213,50.8630943,4.3672791,Lady Fitness Palace,conso,Sport,22.29043604505748
276214,50.5919228,5.8572989,La Traversée  Librairie-Conseils,conso,Librairie,93.52312831619304
276215,50.8383980,4.3065329,WA-WCAS 2,conso,Sport,22.885040005991467
276216,50.6064377,3.3870437,COMPTOIR17,conso,Restaurant,81.82067543267763
276217,50.6064415,3.3870528,LE BEFFROI,conso,Restaurant,81.81998761348972
276218,50.6197395,5.5898309,Le Kwoon - Ving Tsun Liège,conso,Sport,74.42241909105259
276219,51.0486031,5.2269063,L'ARCO,conso,Restaurant,62.17168814299669
276220,50.8592987,5.3895097,Taverne-Eetcafé 't Raedthuijs,conso,Brasserie/Taverne,62.424499296125774
276221,51.2517624,4.4557133,Gouden Lotus,conso,Sport,62.16547886558843
276222,50.8643379,4.0806265,Club 4 Divers,conso,Sport,37.369587277476015
276223,51.2439117,5.0532417,De Retiese Watermolen,conso,Brasserie/Taverne,70.79762017940412
276224,51.2873306,5.1904531,De Lindedreef,conso,Brasserie/Taverne,80.02583061880655
276225,50.7730522,4.8819695,Dansclub Scratch!,conso,Sport,25.572755307904885
276226,51.1980019,4.9821253,Aards Hof,conso,Brasserie/Taverne,63.90714150439265
276227,51.1558189,5.1464920,De Waterhoek,conso,Brasserie/Taverne,66.54571974406092
276228,51.3235474,4.9441533,aroma koffie&thee,conso,Brasserie/Taverne,75.35926080268007
276229,51.1648407,4.1419139,BE JACKS,conso,Restaurant,59.201903987516424
276230,51.3458405,3.2885966,Orchidee Thai,conso,Restaurant,113.50462398631613
276231,51.2285690,4.3764458,Quteduikshop - Belgiumdetectors,conso,Rénovation,60.402396310808825
276232,51.1712875,4.3947020,Zlim,conso,Sport,53.91186006209174
276233,51.2031937,4.3921604,Venue219,conso,Brasserie/Taverne,57.42853998405824
276234,51.1690407,4.1391544,Brasserie 't Heerehuys,conso,Restaurant,59.704034276508104
276235,51.0478783,3.6948149,Loods 25,conso,Brasserie/Taverne,71.07301019743176
276236,50.8553162,3.1254587,ORION kine-fitness-B&B-bessen,conso,Hotel,100.98074110414497
276237,51.2197533,4.4112277,Het Klokhuis,conso,Culture,59.020595163458864
276238,51.3022346,5.0204482,brasserie de lint,conso,Brasserie/Taverne,75.39317679990918
276239,50.9745941,5.5208359,GENDAI,conso,Sport,75.52589706663703
276240,50.8562889,4.7048907,KHC Leuven,conso,Sport,21.357125476060087
276241,50.8889732,5.6509733,Eetcafé Huis Meers,conso,Brasserie/Taverne,80.9625638586531
276242,51.2328529,2.9219365,LA BRISE,conso,Restaurant,128.04540480767517
276243,50.8210411,3.2818389,Zlim Kortrijk,conso,Sport,89.54330083564383
276244,51.0317879,4.4729905,Brasserie Het Anker,conso,Brasserie/Taverne,37.73595065787908
276245,51.2084770,3.2241013,De Reyghere boekhandel,conso,Librairie,108.36112741162516
276246,50.8221092,3.2729454,Dansschool Dursin,conso,Sport,90.1782940972986
276247,50.8458939,2.8774939,Dansschool Dursin,conso,Sport,118.02790151098789
276248,51.1601791,4.6682258,Move To Happiness Hub,conso,Sport,52.48269392551087
276249,51.1742249,4.4080019,B-Well Personal Training & Afslanking,conso,Beauté et bien-être,54.06536516177461
276250,51.2083931,3.2221811,Barista's secret,conso,Brasserie/Taverne,108.47056972996484
276251,50.8803711,4.6966362,Timory,conso,Brasserie/Taverne,23.369649059369443
276252,50.9892387,5.0418363,KVT- THEATER DIEST,conso,Culture,48.06329236327668
276253,51.1872063,3.1485114,Yorick Naeyaert,conso,Sport,111.73639332654734
276254,51.1291389,3.2421350,Kampveldhoeve,conso,Restaurant,102.94049620588108
276255,51.1977119,4.4100695,Restaurant Lokal,conso,Restaurant,56.61469974892331
276256,51.0343666,4.0991511,"Sauna & Beauty "" De Dijk""",conso,Sport,48.778497466420376
276257,51.4017220,4.7612038,Den Bottel,conso,Brasserie/Taverne,80.05360378017564
276258,50.8789597,4.7031956,Loving Hut,conso,Restaurant,23.45324459783627
276259,51.1122589,2.6237512,SOLL CRESS,conso,Hotel,142.05888231412868
276260,51.0585518,3.7218509,Gado-Gado,conso,Restaurant,70.17096388900336
276261,50.9932175,3.7464445,MERFIT,conso,Sport,64.80242836658317
276262,51.0550537,3.7211111,Restaurant De Graslei,conso,Restaurant,69.99212950948802
276263,50.8500328,3.6134906,Sportoase Zwem.com,conso,Sport,67.35144973630149
276264,50.8418350,3.7790904,aquakine,conso,Sport,55.913447161526044
276265,51.2176933,4.4112859,Let's Sushi,conso,Restaurant,58.793802499811626
276266,51.2281723,4.5422087,Let's Sushi,conso,Restaurant,59.264060994313155
276267,50.8346558,4.8539696,UltraFit,conso,Sport,26.9877625314705
276268,50.8563309,3.1882164,DE CUISIEN,conso,Restaurant,96.66345413232615
276269,51.1952972,3.1715128,Brasserie Tuinbos,conso,Restaurant,110.77637829361488
276270,51.0048065,4.4409609,KMTHC,conso,Sport,35.13784933419712
